product_name,category,review_title,review_text,rating,review_date,verified,full_review,clean_review,vader_score,vader_sentiment,rating_sentiment
ALagzi 2025 Mens Casual High-Top Shoes,fashion,Quality,Perfect,5.0,2025-06-12,yes,Quality Perfect,Quality Perfect,0.5719,positive,positive
ALagzi 2025 Mens Casual High-Top Shoes,fashion,material,Comfortable,5.0,2025-05-21,yes,material Comfortable,material Comfortable,0.5106,positive,positive
ALagzi 2025 Mens Casual High-Top Shoes,fashion,torn out day one,Torn out day one,2.0,2025-05-19,yes,torn out day one Torn out day one,torn out day one Torn out day one,-0.4588,negative,negative
ALagzi 2025 Mens Casual High-Top Shoes,fashion,nice one ever,Best quality,5.0,2025-05-16,yes,nice one ever Best quality,nice one ever Best quality,0.7906,positive,positive
ALagzi 2025 Mens Casual High-Top Shoes,fashion,I love it,The best boots designed for all wether,5.0,2025-04-22,yes,I love it The best boots designed for all wether,I love it The best boots designed for all wether,0.8555,positive,positive
ALagzi 2025 Mens Casual High-Top Shoes,fashion,Sneakers best,The color and the final product is just amazing,5.0,2025-04-16,yes,Sneakers best The color and the final product is just amazing,Sneakers best The color and the final product is just amazing,0.8402,positive,positive
ALagzi 2025 Mens Casual High-Top Shoes,fashion,I love It,I Love it,5.0,2025-04-14,yes,I love It I Love it,I love It I Love it,0.8555,positive,positive
ALagzi 2025 Mens Casual High-Top Shoes,fashion,yes,Better but low quantity product,3.0,2025-03-25,yes,yes Better but low quantity product,yes Better but low quantity product,0.0387,neutral,neutral
VON VRT-195DRHS Double Door Direct Cool,appliances,It’s silent you can’t tell if it’s on,Fitted perfectly in my kitchen,5.0,2025-06-17,yes,It’s silent you can’t tell if it’s on Fitted perfectly in my kitchen,It’s silent you can’t tell if it’s on Fitted perfectly in my kitchen,0.6369,positive,positive
VON VRT-195DRHS Double Door Direct Cool,appliances,Von-VRR-195RHS,"So far working fine, no trouble. It has some noise that's non-uniform from the freezer compartment, but I am still using it, I am not sure if that is something to worry about in the long run.",5.0,2025-06-16,yes,"Von-VRR-195RHS So far working fine, no trouble. It has some noise that's non-uniform from the freezer compartment, but I am still using it, I am not sure if that is something to worry about in the long run.","Von-VRR-195RHS So far working fine, no trouble. It has some noise that's non-uniform from the freezer compartment, but I am still using it, I am not sure if that is something to worry about in the long run.",-0.8026,negative,positive
VON VRT-195DRHS Double Door Direct Cool,appliances,Von is it!,I actually love it. Has zero noise. Delivery was so in time (mind you im in kakamega). Its worth every penny of your savings!,5.0,2025-06-09,yes,Von is it! I actually love it. Has zero noise. Delivery was so in time (mind you im in kakamega). Its worth every penny of your savings!,Von is it! I actually love it. Has zero noise. Delivery was so in time (mind you im in kakamega). Its worth every penny of your savings!,0.7707,positive,positive
VON VRT-195DRHS Double Door Direct Cool,appliances,Amazing product,The best and no noise and so spacious and I love the colour,5.0,2025-06-09,yes,Amazing product The best and no noise and so spacious and I love the colour,Amazing product The best and no noise and so spacious and I love the colour,0.9055,positive,positive
VON VRT-195DRHS Double Door Direct Cool,appliances,perfect buy,large freezer storage...and it is efficient and pretty❤️❤️❤️ we love it,5.0,2025-06-05,yes,perfect buy large freezer storage...and it is efficient and pretty❤️❤️❤️ we love it,perfect buy large freezer storage...and it is efficient and pretty❤️❤️❤️ we love it,0.8934,positive,positive
VON VRT-195DRHS Double Door Direct Cool,appliances,Nice product,"Nice product,no noise",5.0,2025-06-03,yes,"Nice product Nice product,no noise","Nice product Nice product,no noise",0.6808,positive,positive
VON VRT-195DRHS Double Door Direct Cool,appliances,von 195l,Freezer space,5.0,2025-06-03,yes,von 195l Freezer space,von 195l Freezer space,0.0,neutral,positive
VON VRT-195DRHS Double Door Direct Cool,appliances,i liked it,fast delivery,4.0,2025-06-03,yes,i liked it fast delivery,i liked it fast delivery,0.4215,positive,positive
VON VRT-195DRHS Double Door Direct Cool,appliances,happy,"B4 ordering the product I always go through the comments coz it helps me make the decision whether to buy it or not...if u come across this one....
My friend u will love the product....its been a week and so far so go....100% recommend",5.0,2025-06-03,yes,"happy B4 ordering the product I always go through the comments coz it helps me make the decision whether to buy it or not...if u come across this one....
My friend u will love the product....its been a week and so far so go....100% recommend",happy B4 ordering the product I always go through the comments coz it helps me make the decision whether to buy it or not...if u come across this one.... My friend u will love the product....its been a week and so far so go....100% recommend,0.9475,positive,positive
VON VRT-195DRHS Double Door Direct Cool,appliances,comment,"fast delivery.good product,working perfectly well.spacious freezing compartment.",5.0,2025-05-30,yes,"comment fast delivery.good product,working perfectly well.spacious freezing compartment.","comment fast delivery.good product,working perfectly well.spacious freezing compartment.",0.5859,positive,positive
Ramtons RM/458 - Digital Glass Microwave,appliances,Quality,The product looks good.A day in use and it's working well.Monitoring this so as to buy another one and gift a friend.,5.0,2025-06-19,yes,Quality The product looks good.A day in use and it's working well.Monitoring this so as to buy another one and gift a friend.,Quality The product looks good.A day in use and it's working well.Monitoring this so as to buy another one and gift a friend.,0.7269,positive,positive
Ramtons RM/458 - Digital Glass Microwave,appliances,Used it for a week now and it's good,Working well!,5.0,2025-06-19,yes,Used it for a week now and it's good Working well!,Used it for a week now and it's good Working well!,0.6476,positive,positive
Ramtons RM/458 - Digital Glass Microwave,appliances,I Love it,Definetly recommend this brand it works really well also very stylish addition to the kitchen!,5.0,2025-06-13,yes,I Love it Definetly recommend this brand it works really well also very stylish addition to the kitchen!,I Love it Definetly recommend this brand it works really well also very stylish addition to the kitchen!,0.855,positive,positive
Ramtons RM/458 - Digital Glass Microwave,appliances,I Like it,Works perfectly well... I recommend it any time any day,4.0,2025-06-10,yes,I Like it Works perfectly well... I recommend it any time any day,I Like it Works perfectly well... I recommend it any time any day,0.8481,positive,positive
Ramtons RM/458 - Digital Glass Microwave,appliances,Liiike!!,Good buy ...,4.0,2025-06-09,yes,Liiike!! Good buy ...,Liiike!! Good buy ...,0.5399,positive,positive
Ramtons RM/458 - Digital Glass Microwave,appliances,amazing,"The product is just as advertised, fast delivery and is very silent. Would recommend",5.0,2025-06-09,yes,"amazing The product is just as advertised, fast delivery and is very silent. Would recommend","amazing The product is just as advertised, fast delivery and is very silent. Would recommend",0.7624,positive,positive
Ramtons RM/458 - Digital Glass Microwave,appliances,Good,Make the wire cord longer,5.0,2025-06-05,yes,Good Make the wire cord longer,Good Make the wire cord longer,0.4404,positive,positive
Ramtons RM/458 - Digital Glass Microwave,appliances,it works,It works well,4.0,2025-06-05,yes,it works It works well,it works It works well,0.2732,positive,positive
Ramtons RM/458 - Digital Glass Microwave,appliances,power,"It's good, only that its power is a bit low. It takes longer to heat up food/drinks",4.0,2025-05-30,yes,"power It's good, only that its power is a bit low. It takes longer to heat up food/drinks","power It's good, only that its power is a bit low. It takes longer to heat up food/drinks",0.2023,positive,positive
Ramtons RM/458 - Digital Glass Microwave,appliances,I like it,It’s what I always wanted,4.0,2025-05-27,yes,I like it It’s what I always wanted,I like it It’s what I always wanted,0.3612,positive,positive
VON VALS-75BWY Twin Tub Washing Machine,appliances,Honestly it's just okay for middle class..,It's awesome it does the work. I was abit worried kama itangarisha nguo. it's affordable and work very fine...,4.0,2025-06-19,yes,Honestly it's just okay for middle class.. It's awesome it does the work. I was abit worried kama itangarisha nguo. it's affordable and work very fine...,Honestly it's just okay for middle class.. It's awesome it does the work. I was abit worried kama itangarisha nguo. it's affordable and work very fine...,0.7783,positive,positive
VON VALS-75BWY Twin Tub Washing Machine,appliances,Washing Machine,It works well. No back and forth.. at least no more stress.,5.0,2025-06-18,yes,Washing Machine It works well. No back and forth.. at least no more stress.,Washing Machine It works well. No back and forth.. at least no more stress.,-0.659,negative,positive
VON VALS-75BWY Twin Tub Washing Machine,appliances,The product is good,Like it thanks ????,5.0,2025-06-18,yes,The product is good Like it thanks ????,The product is good Like it thanks ????,0.8504,positive,positive
VON VALS-75BWY Twin Tub Washing Machine,appliances,I like it,It works soo nice,5.0,2025-06-17,yes,I like it It works soo nice,I like it It works soo nice,0.6486,positive,positive
VON VALS-75BWY Twin Tub Washing Machine,appliances,Washing machine,The package performs well,5.0,2025-06-17,yes,Washing machine The package performs well,Washing machine The package performs well,0.2732,positive,positive
VON VALS-75BWY Twin Tub Washing Machine,appliances,not bad,Works well only downside is the fact that It did not come with the water filter as Von should,4.0,2025-06-16,yes,not bad Works well only downside is the fact that It did not come with the water filter as Von should,not bad Works well only downside is the fact that It did not come with the water filter as Von should,0.0093,neutral,positive
VON VALS-75BWY Twin Tub Washing Machine,appliances,its the best choice to make,it is friendly in terms of power consumption and in laundry,5.0,2025-06-16,yes,its the best choice to make it is friendly in terms of power consumption and in laundry,its the best choice to make it is friendly in terms of power consumption and in laundry,0.8126,positive,positive
VON VALS-75BWY Twin Tub Washing Machine,appliances,iko freshi,Iko tu sawa,5.0,2025-06-16,yes,iko freshi Iko tu sawa,iko freshi Iko tu sawa,0.0,neutral,positive
VON VALS-75BWY Twin Tub Washing Machine,appliances,its very nice,"It saves power,",5.0,2025-06-13,yes,"its very nice It saves power,","its very nice It saves power,",0.4754,positive,positive
VON VALS-75BWY Twin Tub Washing Machine,appliances,Nice & Lovely!!!,Nice & Lovely!!!,5.0,2025-06-12,yes,Nice & Lovely!!! Nice & Lovely!!!,Nice & Lovely!!! Nice & Lovely!!!,0.9368,positive,positive
ElectroMate Dry Iron Box,appliances,Its good,Its fantastic works,5.0,2025-06-19,yes,Its good Its fantastic works,Its good Its fantastic works,0.7579,positive,positive
ElectroMate Dry Iron Box,appliances,timely deliverly,Timely delivery,5.0,2025-06-17,yes,timely deliverly Timely delivery,timely deliverly Timely delivery,0.0,neutral,positive
ElectroMate Dry Iron Box,appliances,Good,It does not overheat.,5.0,2025-06-16,yes,Good It does not overheat.,Good It does not overheat.,0.4404,positive,positive
ElectroMate Dry Iron Box,appliances,easy to use,"I just love it ???? simple ???? 
it's really good. and it cools down the heat when it gets too  hot",5.0,2025-06-16,yes,"easy to use I just love it ???? simple ???? 
it's really good. and it cools down the heat when it gets too  hot",easy to use I just love it ???? simple ????  it's really good. and it cools down the heat when it gets too  hot,0.9053,positive,positive
ElectroMate Dry Iron Box,appliances,I love it.. functioning  well.,The product is functioning well and it's  easy to regulate  based on the materials of the fabric. The power cord is slightly short  but can serve the purpose intended.,5.0,2025-06-13,yes,I love it.. functioning  well. The product is functioning well and it's  easy to regulate  based on the materials of the fabric. The power cord is slightly short  but can serve the purpose intended.,I love it.. functioning  well. The product is functioning well and it's  easy to regulate  based on the materials of the fabric. The power cord is slightly short  but can serve the purpose intended.,0.6858,positive,positive
ElectroMate Dry Iron Box,appliances,its just advertised,Arrived on time,5.0,2025-06-13,yes,its just advertised Arrived on time,its just advertised Arrived on time,0.0,neutral,positive
ElectroMate Dry Iron Box,appliances,good cheap offer,good for the price and okay,5.0,2025-06-12,yes,good cheap offer good for the price and okay,good cheap offer good for the price and okay,0.7717,positive,positive
ElectroMate Dry Iron Box,appliances,Well wrapped,"So far so good,",4.0,2025-06-12,yes,"Well wrapped So far so good,","Well wrapped So far so good,",0.7328,positive,positive
ElectroMate Dry Iron Box,appliances,The cable is too short improve on it .,Increase the cable wire,2.0,2025-06-11,yes,The cable is too short improve on it . Increase the cable wire,The cable is too short improve on it . Increase the cable wire,0.6369,positive,negative
ElectroMate Dry Iron Box,appliances,I like it,Good quality,5.0,2025-06-11,yes,I like it Good quality,I like it Good quality,0.6597,positive,positive
